rule_level,hour_of_day,day_of_week,failed_logins,src_ip_is_internal,src_ip_reputation,agent_os,event_count_1h,is_fim_event,has_mitre_tag,label
9,4,1,0,0,53,2,5110,0,0,1
9,21,0,0,0,87,1,5110,0,1,1
11,19,6,0,0,66,0,5110,0,1,1
9,18,4,0,1,19,1,60,0,0,0
13,23,3,0,0,90,1,2600,0,1,1
10,23,0,0,0,54,2,5110,0,0,1
13,21,4,0,0,52,1,2920,0,1,1
5,8,4,0,1,14,2,150,0,1,0
13,20,5,0,0,89,0,5110,0,1,1
9,23,5,0,0,66,0,4630,0,1,1
9,19,4,0,0,58,0,5110,0,1,1
12,22,1,0,0,65,2,5110,0,1,1
11,20,2,0,0,97,0,1450,0,1,1
11,21,0,0,0,85,2,2370,0,1,1
1,18,0,0,1,13,1,10,0,0,0
13,1,4,0,0,74,2,5110,0,1,1
11,18,6,0,1,78,2,2020,0,1,1
11,20,2,0,0,57,1,5110,0,1,1
12,0,6,0,0,71,1,990,0,1,1
11,21,1,0,0,71,0,5110,0,0,1
9,22,6,0,0,93,2,2050,0,1,1
9,3,5,0,0,94,0,5110,0,1,1
9,1,6,0,0,74,1,5080,0,1,1
2,17,2,0,1,1,0,10,0,0,0
13,5,0,0,0,51,0,1210,0,1,1
9,19,3,0,0,60,1,4420,0,1,1
12,3,0,0,1,66,1,2370,0,1,1
9,2,0,0,0,68,0,5110,0,1,1
12,5,1,0,0,80,2,2310,0,1,1
2,12,2,0,1,13,2,110,0,0,0
14,23,4,0,0,76,2,50,0,1,1
9,2,0,0,0,96,1,4780,0,1,1
9,1,3,0,0,76,0,5110,0,0,1
13,23,3,0,0,81,0,4590,0,1,1
11,20,1,0,0,55,0,5110,0,0,1
11,19,3,0,0,51,0,5100,0,1,1
13,0,2,0,0,68,0,5110,0,0,1
3,21,2,0,0,57,0,4500,0,0,1
12,20,0,0,0,83,2,5110,0,1,1
9,18,5,0,0,76,0,5110,0,0,1
11,21,4,0,0,52,2,5110,0,1,1
9,18,0,0,0,80,1,5110,0,1,1
12,4,0,0,0,54,2,5110,0,1,1
9,18,2,0,0,88,0,5110,0,1,1
11,19,1,0,0,87,1,5110,0,1,1
12,5,5,0,0,61,0,5110,0,0,1
9,1,3,0,0,78,2,5100,0,1,1
9,3,6,0,0,80,2,2500,0,1,1
2,13,1,0,0,17,2,20,0,0,0
10,0,1,0,0,67,0,1140,0,1,1
11,20,2,0,0,72,2,2760,0,1,1
10,5,4,0,0,76,1,5110,0,1,1
11,19,4,0,0,76,1,5110,0,1,1
13,5,4,0,0,53,2,5110,0,1,1
11,22,2,0,0,51,2,2960,0,1,1
9,3,3,0,0,77,1,5110,0,0,1
11,11,0,0,0,17,1,160,0,1,0
5,13,3,0,0,7,0,140,0,0,0
11,19,1,0,0,52,0,5110,0,0,1
10,1,3,0,0,67,1,2170,0,1,1
2,18,1,0,0,12,0,50,0,0,0
13,5,0,0,0,87,1,5110,0,0,1
4,14,3,0,1,4,0,10,0,0,0
12,2,6,0,0,73,0,5110,0,1,1
2,8,1,0,1,10,1,10,0,0,0
13,0,6,0,0,64,2,5110,0,0,1
13,5,6,0,0,53,2,1210,0,1,1
12,5,1,0,0,92,2,5110,0,1,1
12,2,6,0,1,71,2,2390,0,1,1
2,7,1,0,0,1,1,80,0,0,0
12,19,3,0,1,75,1,1170,0,1,1
12,3,3,0,0,50,0,4770,0,1,1
9,2,5,0,0,54,1,5110,0,0,1
9,5,0,0,0,64,0,5110,0,0,1
12,23,3,0,0,57,1,2070,0,1,1
12,19,6,0,0,62,0,5110,0,1,1
4,7,4,0,0,10,2,130,0,0,0
12,0,5,0,0,89,0,5110,0,1,1
11,21,2,0,0,54,0,5100,0,1,1
13,21,5,0,0,85,2,1500,0,1,1
12,4,1,0,0,78,2,5110,0,0,1
13,19,4,0,0,86,1,5100,0,0,1
13,0,6,0,1,91,2,1830,0,1,1
13,3,4,0,1,97,1,1110,0,1,1
10,3,3,0,0,89,2,5110,0,1,1
7,22,5,0,0,54,0,5110,0,1,1
10,4,0,0,0,89,2,5110,0,1,1
5,1,6,0,0,75,2,5110,0,1,1
3,16,4,0,1,2,1,10,0,0,0
12,18,0,0,0,91,1,5100,0,1,1
12,18,6,0,1,59,2,2410,0,0,1
11,20,6,0,0,67,1,5100,0,1,1
12,4,5,0,0,60,0,2510,0,1,1
13,1,5,0,0,78,2,5110,0,1,1
11,19,2,0,0,92,2,5110,0,0,1
13,19,3,0,0,60,1,5110,0,1,1
9,2,6,0,0,61,2,5110,0,1,1
5,10,3,0,1,7,1,10,0,0,0
11,1,6,0,0,73,2,5110,0,1,1
6,1,3,0,0,72,1,5110,0,0,1
8,1,6,0,0,57,0,2630,0,1,1
12,19,4,0,0,50,2,5110,0,1,1
11,5,3,0,0,95,1,5110,0,1,1
10,4,6,0,0,68,2,2670,0,1,1
10,19,6,0,0,90,0,1300,0,1,1
11,23,4,0,0,56,1,5110,0,0,1
3,11,1,0,1,7,1,50,0,0,0
9,23,1,0,0,54,1,1340,0,1,1
9,21,1,0,1,94,1,2390,0,1,1
10,22,4,0,0,89,2,5110,0,0,1
12,22,2,0,0,98,2,5110,0,0,1
11,4,3,0,0,80,2,5100,0,1,1
9,4,4,0,0,54,2,2400,0,1,1
12,2,5,0,0,94,2,5110,0,1,1
5,12,4,0,1,5,0,20,0,0,0
12,23,5,0,1,85,1,2680,0,0,1
3,7,0,0,0,5,2,10,0,1,0
9,2,1,0,0,72,2,5110,0,0,1
9,19,2,0,0,62,0,5110,0,1,1
10,22,0,0,0,60,2,5110,0,1,1
11,5,0,0,0,80,1,5110,0,1,1
2,11,0,0,1,13,0,50,0,0,0
10,23,6,0,0,66,2,5110,0,1,1
13,19,5,0,0,88,2,5110,0,1,1
5,20,0,0,0,57,0,2500,0,1,1
10,1,2,0,0,78,0,5090,0,1,1
13,18,6,0,0,82,2,5100,0,0,1
5,18,1,0,1,16,1,50,0,0,0
5,13,1,0,0,13,0,210,0,0,0
9,1,2,0,0,55,2,2270,0,0,1
11,1,4,0,0,56,1,5110,0,1,1
7,4,2,0,1,52,2,1450,0,1,1
7,23,1,0,0,63,1,4820,0,1,1
10,5,1,0,0,78,1,2700,0,1,1
12,4,4,0,0,59,2,5110,0,1,1
11,23,0,0,0,74,1,5110,0,0,1
11,4,0,0,0,50,1,5110,0,1,1
8,14,4,0,1,0,0,10,0,0,0
11,19,3,0,0,82,2,5110,0,1,1
10,19,2,0,0,98,0,1080,0,1,1
10,23,2,0,0,63,2,1130,0,1,1
11,0,1,0,0,76,0,5110,0,1,1
3,9,2,0,1,8,0,150,0,0,0
11,2,3,0,0,74,2,5110,0,0,1
9,1,2,0,0,52,2,5110,0,1,1
5,2,0,0,0,89,1,5110,0,1,1
11,3,5,0,0,87,2,5110,0,0,1
12,5,0,0,0,77,1,5110,0,1,1
9,1,6,0,0,69,0,5110,0,0,1
11,2,1,0,0,85,0,5110,0,0,1
7,23,4,0,0,52,0,5110,0,1,1
5,2,3,0,0,95,1,4360,0,1,1
5,1,5,0,0,99,0,4620,0,1,1
9,22,3,0,0,76,1,5110,0,1,1
10,23,5,0,0,85,0,5100,0,1,1
11,1,3,0,0,61,0,1500,0,0,1
11,21,4,0,1,77,1,2000,0,0,1
10,3,5,0,0,77,1,2390,0,1,1
13,3,6,0,0,62,0,4530,0,1,1
9,20,1,0,0,66,1,5110,0,1,1
9,23,1,0,0,64,2,5110,0,0,1
11,23,1,0,0,52,1,4530,0,1,1
10,23,0,0,0,54,2,1270,0,1,1
10,19,3,0,0,90,1,2080,0,0,1
11,22,4,0,1,71,2,2590,0,0,1
9,23,0,0,0,83,0,5110,0,1,1
3,15,4,0,1,5,0,130,0,0,0
12,4,1,0,1,55,0,2300,0,1,1
6,3,2,0,0,82,1,5090,0,1,1
11,0,3,0,0,61,0,5110,0,1,1
12,1,5,0,0,85,1,5090,0,1,1
12,19,0,0,0,78,2,5110,0,0,1
13,0,5,0,0,50,2,5110,0,1,1
5,12,4,0,1,3,2,90,0,0,0
5,16,0,0,0,8,0,90,0,0,0
12,0,0,0,1,66,1,1480,0,1,1
12,3,3,0,0,96,0,5110,0,1,1
3,15,0,0,1,15,1,20,0,0,0
11,19,2,0,0,86,2,5110,0,1,1
11,19,5,0,0,61,0,5110,0,0,1
12,18,3,0,0,58,2,5110,0,1,1
11,1,3,0,0,87,0,4750,0,0,1
3,10,4,0,1,12,0,10,0,0,0
13,18,1,0,0,87,2,5110,0,1,1
3,10,1,0,0,18,1,20,0,0,0
12,3,4,0,0,59,1,2650,0,1,1
1,12,4,0,1,14,1,10,0,0,0
13,20,3,0,0,88,1,5110,0,1,1
10,1,3,0,0,74,2,5110,0,1,1
5,2,2,0,0,58,0,1260,0,1,1
11,18,4,0,0,61,2,5110,0,0,1
9,5,6,0,0,91,1,5110,0,0,1
12,19,5,0,0,58,0,5110,0,1,1
12,2,2,0,0,74,0,5110,0,0,1
9,19,3,0,0,98,0,1100,0,1,1
9,21,2,0,0,73,1,5110,0,1,1
13,21,3,0,0,86,1,5110,0,0,1
5,16,1,0,1,6,0,130,0,0,0
10,2,6,0,0,67,0,360,0,1,1
11,2,2,0,0,77,2,5100,0,0,1
11,20,4,0,0,96,1,5110,0,0,1
10,21,0,0,0,95,0,5110,0,1,1
12,3,1,0,0,97,1,5110,0,1,1
12,1,5,0,0,82,2,5110,0,1,1
12,1,6,0,0,91,2,5110,0,1,1
10,19,6,0,0,52,0,5100,0,1,1
9,20,6,0,1,65,1,2130,0,1,1
3,7,4,0,1,17,2,70,0,1,0
10,21,3,0,0,79,0,5110,0,1,1
12,3,1,0,1,95,2,1130,0,0,1
12,0,0,0,0,96,2,5110,0,1,1
12,20,5,0,0,80,0,5110,0,1,1
4,2,5,0,0,66,1,5110,0,1,1
